"word","valence"
"<$@$>","9.32299307587008"
"<$#$>","8.83138607565006"
"<$emote:frown$>","8.05597138282895"
"<$emote:heart$>","9.83834313426891"
"<$emote:shifty$>","8.51485148514851"
"<$emote:slant$>","7.37158928806289"
"<$emote:smile$>","9.80649331716225"
"<$emote:wink$>","9.66279926565173"
"<$link$>","8.95931718454272"
"<$RT$>","8.9628708769941"
"<$title$>","9.19552724615875"
"a","0"
"aaahhrealmonsters","9.80632666236282"
"abandoned","8.71244635193133"
"abbey","9.75961538461538"
"abc","9.25187032418953"
"abcn","0"
"able","9.48093828687547"
"about","0"
"abracarioca","6.85314685314685"
"absolute","9.67105263157895"
"absolutely","9.59559158393296"
"access","8.78944547775921"
"accomplish","9.5609756097561"
"account","8.52910026176535"
"accounts","8.42441658821781"
"accruing","6.20253164556962"
"acct","8.26755046700814"
"accurate","9.77278465034082"
"aceboypun","0.926275992438563"
"ackroyd","6.20253164556962"
"acquire","9.64221824686941"
"acquires","5.50561797752809"
"across","7.39567919502812"
"actin","1.75081559732795"
"acting","5.08959338387319"
"action","8.64545707140873"
"activists","6.20253164556962"
"activities","9.44064636420137"
"activity","8.66504854368932"
"actually","9.06920318639555"
"ad","0"
"adam","9.00459418070444"
"adapted","6.20253164556962"
"add","9.62345367671689"
"addcrafter","0"
"added","9.54567357334618"
"addict","9.63869931754315"
"addicted","9.8667834275607"
"addicting","9.85596603830798"
"addictive","9.77680081163341"
"adding","9.70984199452688"
"address","9.07407407407407"
"adds","8.7785016286645"
"adobe","7.89768745620182"
"adrianco","9.94563247553461"
"adrianh","6.20253164556962"
"ads","8.69494691309477"
"advantage","9.77960083261908"
"adventures","9.27607653876219"
"advertise","7.70786516853933"
"advertisement","8.67256637168142"
"af","0"
"affect","6.10786059526838"
"afford","8.85823025689819"
"afraid","9.04789382573572"
"after","9.0346103201807"
"afternoon","9.64305261404469"
"ag","0"
"again","9.3175123101513"
"against","8.54336790995365"
"ago","9.05411350637923"
"agree","9.24331237344133"
"agreed","9.19940072100754"
"agreement","8.86411442995372"
"agreements","7.10144927536232"
"ah","0"
"aha","8.55560067289286"
"ahhh","9.13916786226686"
"ahkkdot","0"
"aid","9.63691376701967"
"aim","8.39400428265525"
"aimed","1.38028169014085"
"aint","5.13748763600396"
"air","9.49392712550607"
"airplanes","6.62162162162162"
"airplay","8.0327868852459"
"airwolf","9.48387096774194"
"ajackart","0"
"aka","8.95503483217226"
"ake","7.368421052631579"
"akye","0"
"alanafrey","0"
"alanzilbermans","0"
"alcohol","8.46270639590055"
"alex","9.30337385603059"
"alexlindsay","5.50561797752809"
"alias","9.6442968935262"
"alien","7.65625"
"alienate","2.89940828402367"
"alienated","6.85314685314685"
"aliyahsahar","8.51116625310174"
"all","9.13450604544089"
"allab","0"
"alldroid","0"
"allen","9.5279307631786"
"allisalaford","4.4954128440367"
"allowed","8.40574305426068"
"allows","9.17602996254682"
"alloy","2.89940828402367"
"almost","9.32152502818785"
"alone","8.76784329494212"
"already","8.72325121381047"
"alright","9.20353323573928"
"also","9.23643910729995"
"alternative","9.41025253288976"
"although","9.74170319348779"
"alts","8.67256637168142"
"always","8.92999525649335"
"am","0"
"amaaziiinnggg","0"
"amazed","8.67256637168142"
"amazing","9.63152533420527"
"amazon","9.27259552409353"
"amc","9.75178890876565"
"america","8.83566785389149"
"american","8.78900260314517"
"americanpsycho","8.0327868852459"
"americas","9.33650901667234"
"amid","8.13278008298755"
"among","9.20269312544295"
"amount","8.93376413570275"
"amp","8.87495507148432"
"amusing","6.36643911032812"
"an","0"
"analog","8.51116625310174"
"anarchy","9.510747513634906"
"anatomy","9.65441032161173"
"ancient","9.18076310399757"
"ancientaliens","9.59486833220797"
"and","0"
"andersonrdean","9.55022488755622"
"andrew","9.14538310412574"
"android","8.64152624155594"
"andy","9.63920625375827"
"angeles","7.83393501805054"
"angry","8.63521929243408"
"anime","8.68178596739901"
"anno","6.20253164556962"
"announce","8.20018945374171"
"announced","8.60857343640197"
"announcement","9.53982300884956"
"announces","5.53837001784652"
"annoying","7.03674004956991"
"another","9.35607665866177"
"answer","8.83226540511408"
"answers","8.81748071979435"
"ant","7.0163561200647"
"any","8.42239432315387"
"anybody","8.05336179295624"
"anymoree","5.50561797752809"
"anyone","8.27479162462943"
"anything","8.21714848148176"
"anytime","9.79711849456042"
"anyway","9.49164368541715"
"anywho","8.88059701492537"
"aol","7.89768745620182"
"ap","0"
"apartment","9.4828802005798"
"api","9.21052631578947"
"apne","0"
"app","9.27965450250877"
"apparently","7.49733127742854"
"appealing","8.15157116451017"
"appearing","8.30508474576271"
"appears","8.19174343227567"
"apple","9.21030701464305"
"appletv","8.45637583892617"
"apps","9.07001699007422"
"appt","8.17905918057663"
"april","8.19582785190754"
"aprylshowers","0"
"aps","7.10144927536232"
"ar","0"
"archie","8.9983305509182"
"archive","8.41479524438573"
"are","8.1615856211469"
"area","9.40915805022157"
"argh","5.96651445966515"
"ariananicolea","0"
"arieswym","7.10144927536232"
"arj","1.4040114613180519"
"arnold","9.42250410326032"
"around","9.26282344335741"
"arrested","9.50456064162455"
"arresteddevelopment","9.93043639567778"
"arrives","9.71671388101983"
"art","9.50282087447109"
